Ticker,Short Name,Market Cap,Rank(Current Market Cap),Sector,Prim Exch Nm,Country,Cntry of Incorp,Best Analyst Rating,52Wk High,52Wk Low,52Wk Low Dt,52Wk High Dt,1Y Tot Ret (%),02/12/2019,01/01/2020,03/02/2020,02/03/2020,01/04/2020,01/05/2020,01/06/2020,01/07/2020,03/08/2020,01/09/2020,01/10/2020,02/11/2020
AAPL US Equity,APPLE INC,2045316825088.00,1.00,Technology,NASDAQ GS,UNITED STATES,US,4.116279125,137.98,53.15,03/23/2020,09/02/2020,79.75,66.04,73.41,77.17,74.70,60.23,72.27,80.46,91.03,108.94,134.18,116.79,108.77
ARAMCO AB Equity,SAUDI ARABIAN OI,1887798558720.00,2.00,Energy,Saudi Arabia,SAUDI ARABIA,SA,2.777777672,10.32,7.18,03/09/2020,12/12/2019,0.00,0.00,9.36,9.05,8.74,8.13,8.42,8.76,8.72,8.80,9.40,9.53,9.12
MSFT US Equity,MICROSOFT CORP,1642366500864.00,3.00,Technology,NASDAQ GS,UNITED STATES,US,4.789473534,232.86,132.52,03/23/2020,09/02/2020,43.23,149.55,157.70,174.38,172.79,152.11,174.57,182.83,204.70,216.54,227.27,212.46,202.33
AMZN US Equity,AMAZON.COM INC,1571013132288.00,4.00,Communications,NASDAQ GS,UNITED STATES,US,4.892857075,3552.25,1626.03,03/16/2020,09/02/2020,77.83,1781.60,1847.84,2004.20,1953.95,1907.70,2286.04,2471.04,2878.70,3111.89,3499.12,3221.26,3004.48
GOOGL US Equity,ALPHABET INC-A,1202593726464.00,5.00,Communications,NASDAQ GS,UNITED STATES,US,4.772727489,1816.89,1008.87,03/23/2020,11/09/2020,33.98,1288.86,1339.39,1482.60,1386.32,1102.10,1317.32,1434.87,1442.00,1482.76,1655.08,1487.90,1624.32
FB US Equity,FACEBOOK INC-A,794559709184.00,6.00,Communications,NASDAQ GS,UNITED STATES,US,4.553571224,304.67,137.10,03/18/2020,08/26/2020,36.94,199.70,205.25,204.19,196.44,159.60,202.27,231.91,237.55,251.96,295.44,266.63,261.36
700 HK Equity,TENCENT,738114142208.00,7.00,Communications,Hong Kong,CHINA,KY,4.852458954,81.64,41.56,11/18/2019,11/09/2020,75.71,42.54,48.20,48.92,50.07,48.29,53.79,55.34,64.33,69.54,69.55,66.00,77.61
BABA US Equity,ALIBABA GRP-ADR,698893008896.00,8.00,Communications,New York,CHINA,KY,4.938461304,319.32,169.95,03/23/2020,10/27/2020,40.29,196.31,212.10,213.10,210.98,187.56,194.48,206.57,215.95,257.94,298.00,290.05,310.84
BRK/A US Equity,BERKSHIRE HATH-A,546484617216.00,9.00,Financial,New York,UNITED STATES,US,4.5,350000.00,239440.00,03/23/2020,11/16/2020,4.99,330609.00,339590.00,334860.00,324500.00,261250.00,273975.00,275600.00,267020.00,298800.00,327440.00,318600.00,306375.00
V US Equity,VISA INC-CLASS A,467886243840.00,10.00,Financial,New York,UNITED STATES,US,4.605263233,217.65,133.93,03/23/2020,11/09/2020,14.27,181.79,187.90,200.81,192.33,153.11,175.57,194.35,193.78,190.69,213.35,203.35,184.74
