,Unnamed: 0,Ticker,Short Name,Market Cap,Rank(Current Market Cap),Sector,Prim Exch Nm,Country,Cntry of Incorp,Best Analyst Rating,52Wk High,52Wk Low,52Wk Low Dt,52Wk High Dt,1Y Tot Ret (%),02/12/2019,01/01/2020,03/02/2020,02/03/2020,01/04/2020,01/05/2020,01/06/2020,01/07/2020,03/08/2020,01/09/2020,01/10/2020,02/11/2020,ratio_yearvar_meanprice,performance category,Value category,performance category_2
0,0,AAPL US Equity,APPLE INC,2045316825088.0,1.0,Technology,NASDAQ GS,UNITED STATES,US,4.116279125,137.98,53.15,03/23/2020,09/02/2020,79.75,66.04,73.41,77.17,74.7,60.23,72.27,80.46,91.03,108.94,134.18,116.79,108.77,0.9567383152097292,pos_performers,High Value,4_high_positive_performance
1,1,ARAMCO AB Equity,SAUDI ARABIAN OI,1887798558720.0,2.0,Energy,Saudi Arabia,SAUDI ARABIA,SA,2.777777672,10.32,7.18,03/09/2020,12/12/2019,0.0,0.0,9.36,9.05,8.74,8.13,8.42,8.76,8.72,8.8,9.4,9.53,9.12,0.3843721309803122,no_data,High Value,no data
2,2,MSFT US Equity,MICROSOFT CORP,1642366500864.0,3.0,Technology,NASDAQ GS,UNITED STATES,US,4.789473534,232.86,132.52,03/23/2020,09/02/2020,43.23,149.55,157.7,174.38,172.79,152.11,174.57,182.83,204.7,216.54,227.27,212.46,202.33,0.5406177179725489,pos_performers,High Value,4_high_positive_performance
3,3,AMZN US Equity,AMAZON.COM INC,1571013132288.0,4.0,Communications,NASDAQ GS,UNITED STATES,US,4.892857075,3552.25,1626.03,03/16/2020,09/02/2020,77.83,1781.6,1847.84,2004.2,1953.95,1907.7,2286.04,2471.04,2878.7,3111.89,3499.12,3221.26,3004.48,0.7713153642807519,pos_performers,High Value,4_high_positive_performance
4,4,GOOGL US Equity,ALPHABET INC-A,1202593726464.0,5.0,Communications,NASDAQ GS,UNITED STATES,US,4.772727488999999,1816.89,1008.87,03/23/2020,11/09/2020,33.98,1288.86,1339.39,1482.6,1386.32,1102.1,1317.32,1434.87,1442.0,1482.76,1655.08,1487.9,1624.32,0.5689106475657612,pos_performers,High Value,4_high_positive_performance
5,5,FB US Equity,FACEBOOK INC-A,794559709184.0,6.0,Communications,NASDAQ GS,UNITED STATES,US,4.553571224,304.67,137.1,03/18/2020,08/26/2020,36.94,199.7,205.25,204.19,196.44,159.6,202.27,231.91,237.55,251.96,295.44,266.63,261.36,0.7413781661320651,pos_performers,High Value,4_high_positive_performance
6,6,700 HK Equity,TENCENT,738114142208.0,7.0,Communications,Hong Kong,CHINA,KY,4.852458953999999,81.64,41.56,11/18/2019,11/09/2020,75.71,42.54,48.2,48.92,50.07,48.29,53.79,55.34,64.33,69.54,69.55,66.0,77.61,0.6928462358466104,pos_performers,High Value,4_high_positive_performance
7,7,BABA US Equity,ALIBABA GRP-ADR,698893008896.0,8.0,Communications,New York,CHINA,KY,4.938461304,319.32,169.95,03/23/2020,10/27/2020,40.29,196.31,212.1,213.1,210.98,187.56,194.48,206.57,215.95,257.94,298.0,290.05,310.84,0.6415594084212636,pos_performers,High Value,4_high_positive_performance
8,8,BRK/A US Equity,BERKSHIRE HATH-A,546484617216.0,9.0,Financial,New York,UNITED STATES,US,4.5,350000.0,239440.0,03/23/2020,11/16/2020,4.99,330609.0,339590.0,334860.0,324500.0,261250.0,273975.0,275600.0,267020.0,298800.0,327440.0,318600.0,306375.0,0.3626286311857015,pos_performers,High Value,3_moderate_positive_performance
9,9,V US Equity,VISA INC-CLASS A,467886243840.0,10.0,Financial,New York,UNITED STATES,US,4.6052632330000005,217.65,133.93,03/23/2020,11/09/2020,14.27,181.79,187.9,200.81,192.33,153.11,175.57,194.35,193.78,190.69,213.35,203.35,184.74,0.4422278663773182,pos_performers,High Value,3_moderate_positive_performance
10,10,2330 TT Equity,TSMC,439852269568.0,11.0,Technology,Taiwan,TAIWAN,TW,4.6666665080000005,17.73,7.74,03/19/2020,11/16/2020,60.55,10.08,11.08,10.4,10.33,8.96,10.24,9.87,10.74,14.13,14.8,14.92,15.25,0.8514204545454545,pos_performers,High Value,4_high_positive_performance
11,11,WMT US Equity,WALMART INC,431977299968.0,12.0,"Consumer, Cyclical",New York,UNITED STATES,US,4.289473534,153.4,102.0,03/16/2020,11/16/2020,29.12,119.28,118.84,114.27,115.88,114.14,122.92,123.96,119.69,129.3,147.59,143.08,140.4,0.4086527313081791,pos_performers,High Value,4_high_positive_performance
12,12,JNJ US Equity,JOHNSON&JOHNSON,397119062016.0,13.0,"Consumer, Non-cyclical",New York,UNITED STATES,US,4.400000095,157.0,109.16,03/23/2020,04/23/2020,12.12,137.36,145.87,150.17,140.02,128.81,148.29,147.19,140.38,147.35,151.52,147.32,138.69,0.3331921043314741,pos_performers,High Value,3_moderate_positive_performance
13,13,TSLA US Equity,TESLA INC,386828795904.0,14.0,"Consumer, Cyclical",NASDAQ GS,UNITED STATES,US,2.810810804,502.49,65.42,11/26/2019,09/01/2020,594.36,66.97,83.67,156.0,148.72,96.31,140.26,179.62,223.93,297.0,475.05,448.16,400.51,1.9309476474486416,pos_performers,High Value,5_Very_high_positive_performance
14,14,005930 KS Equity,SAMSUNG ELECTRON,357736939520.0,15.0,Technology,Korea SE,SOUTH KOREA,KR,4.826086998,60.56,33.65,03/19/2020,11/16/2020,27.75,42.49,48.27,47.99,46.17,37.02,40.84,41.82,43.79,47.55,45.71,50.03,50.59,0.5954967082818522,pos_performers,High Value,4_high_positive_performance
15,15,JPM US Equity,JPMORGAN CHASE,357554225152.0,16.0,Financial,New York,UNITED STATES,US,4.3103446960000005,141.1,76.91,03/19/2020,01/02/2020,-8.27,131.47,139.4,133.37,121.52,84.36,93.25,98.6,93.26,96.1,100.14,96.97,100.25,0.5977232693665661,neg_performers,High Value,2_moderate_negative_performance
16,16,PG US Equity,PROCTER & GAMBLE,353170259968.0,17.0,"Consumer, Non-cyclical",New York,UNITED STATES,US,3.956521749,146.92,94.34,03/23/2020,11/09/2020,17.75,122.72,124.9,125.11,119.56,109.33,116.82,117.25,119.98,131.29,138.18,139.24,138.5,0.4198339188757584,pos_performers,High Value,3_moderate_positive_performance
17,17,UNH US Equity,UNITEDHEALTH GRP,338558189568.0,18.0,"Consumer, Non-cyclical",New York,UNITED STATES,US,4.5,367.95,187.72,03/23/2020,11/09/2020,24.9,279.66,293.98,274.02,273.11,237.32,284.51,305.93,297.73,303.61,312.83,313.07,312.1,0.6200804502461387,pos_performers,High Value,4_high_positive_performance
18,18,MA US Equity,MASTERCARD INC-A,334418608128.0,19.0,Financial,New York,UNITED STATES,US,4.574999809,367.25,199.99,03/23/2020,08/28/2020,17.64,286.47,298.59,324.52,306.74,228.61,268.74,301.4,301.17,312.59,356.9,343.37,289.97,0.5545955176329831,pos_performers,High Value,3_moderate_positive_performance
